MSA,Year,Uninsured Population,Total Population,Ratio of Uninsured,Percentage of Uninsured
"Atlanta-Sandy Springs-Marietta, GA ",2010,1041340,5244660,0.198552432,19.85524324
"Augusta-Richmond County, GA-SC ",2010,89738,541705,0.16565843,16.56584303
"Austin-Round Rock-San Marcos, TX ",2010,330058,1710245,0.192988724,19.29887238
"Baltimore-Towson, MD ",2010,268069,2665963,0.100552408,10.05524083
"Birmingham-Hoover, AL ",2010,151717,1117020,0.135822993,13.58229933
"Boston-Cambridge-Quincy, MA-NH ",2010,224398,4508800,0.049768896,4.976889638
"Buffalo-Niagara Falls, NY ",2010,85735,1120190,0.076536123,7.653612334
"Charlotte-Gastonia-Rock Hill, NC-SC ",2010,296272,1751560,0.169147503,16.91475028
"Chicago-Joliet-Naperville, IL-IN-WI ",2010,1406405,9394341,0.14970768,14.97076804
"Cincinnati-Middletown, OH-KY-IN ",2010,245056,2104138,0.116463844,11.64638441
"Cleveland-Elyria-Mentor, OH ",2010,236086,2047254,0.115318373,11.53183728
"Columbus, OH ",2010,218681,1817111,0.120345427,12.03454274
"Dallas-Fort Worth-Arlington, TX ",2010,1431927,6339312,0.225880506,22.58805056
"Denver-Aurora-Broomfield, CO ",2010,400031,2536850,0.157688078,15.76880777
"Detroit-Warren-Livonia, MI ",2010,559035,4263706,0.13111481,13.11148095
"Fresno, CA ",2010,185812,922483,0.201425934,20.14259341
"Houston-Sugar Land-Baytown, TX ",2010,1500355,5924557,0.253243407,25.32434071
"Indianapolis-Carmel, IN ",2010,260247,1735161,0.149984353,14.9984353
"Jacksonville, FL ",2010,211021,1323923,0.15939069,15.93906896
"Kansas City, MO-KS ",2010,268337,2013218,0.133287602,13.32876022
"Las Vegas-Paradise, NV ",2010,446473,1929484,0.231395026,23.13950258
"Los Angeles-Long Beach-Santa Ana, CA ",2010,2829788,12755004,0.221857084,22.18570845
"Louisville/Jefferson County, KY-IN ",2010,163595,1267434,0.129075755,12.90757546
"Memphis, TN-MS-AR ",2010,207802,1298982,0.159972963,15.99729634
"Miami-Fort Lauderdale-Pompano Beach, FL ",2010,1475487,5517868,0.267401649,26.74016486
"Milwaukee-Waukesha-West Allis, WI ",2010,156395,1545012,0.101225751,10.1225751
"Minneapolis-St. Paul-Bloomington, MN-WI ",2010,297382,3256442,0.091321141,9.132114129
"Nashville-Davidson--Murfreesboro--Franklin, TN ",2010,227085,1572199,0.144437822,14.44378224
"New York-Northern New Jersey-Long Island, NY-NJ-PA ",2010,2548241,18750885,0.135899772,13.58997722
"Oklahoma City, OK ",2010,216725,1237705,0.175102306,17.51023063
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD ",2010,596326,5886309,0.101307288,10.13072878
"Phoenix-Mesa-Glendale, AZ ",2010,709156,4150399,0.170864536,17.08645362
"Pittsburgh, PA ",2010,192101,2325874,0.082593038,8.259303814
"Portland-Vancouver-Hillsboro, OR-WA ",2010,340646,2214964,0.153793019,15.37930188
"Providence-New Bedford-Fall River, RI-MA ",2010,150639,1578428,0.095436092,9.543609211
"Raleigh-Cary, NC ",2010,167007,1128058,0.148048239,14.80482387
"Richmond, VA ",2010,164202,1232732,0.133201702,13.32017016
"Riverside-San Bernardino-Ontario, CA ",2010,893093,4188254,0.213237545,21.32375448
"Sacramento--Arden-Arcade--Roseville, CA ",2010,269228,2127810,0.126528214,12.65282145
"St. Louis, MO-IL ",2010,304550,2776667,0.10968186,10.96818596
"Salt Lake City, UT ",2010,186646,1117922,0.166957981,16.6957981
"San Antonio-New Braunfels, TX ",2010,419833,2107903,0.19917093,19.91709296
"San Diego-Carlsbad-San Marcos, CA ",2010,527303,3002860,0.175600261,17.56002611
"San Francisco-Oakland-Fremont, CA ",2010,531201,4309379,0.123266253,12.32662525
"San Jose-Sunnyvale-Santa Clara, CA ",2010,225118,1835444,0.122650432,12.26504323
"Seattle-Tacoma-Bellevue, WA ",2010,446072,3397885,0.131279311,13.12793105
"Tampa-St. Petersburg-Clearwater, FL ",2010,514014,2760376,0.186211589,18.62115886
"Virginia Beach-Norfolk-Newport News, VA-NC ",2010,189764,1595630,0.11892732,11.89273202
"Washington-Arlington-Alexandria, DC-VA-MD-WV ",2010,679873,5520359,0.123157389,12.31573889
"Atlanta-Sandy Springs-Marietta, GA ",2011,1045167,5318639,0.196510235,19.6510235
"Augusta-Richmond County, GA-SC ",2011,80993,544132,0.148848074,14.88480736
"Austin-Round Rock-San Marcos, TX ",2011,332187,1765887,0.188113396,18.81133957
"Baltimore-Towson, MD ",2011,242158,2686186,0.090149379,9.014937908
"Birmingham-Hoover, AL ",2011,146061,1118192,0.130622469,13.06224691
"Boston-Cambridge-Quincy, MA-NH ",2011,214444,4540931,0.047224677,4.722467705
"Buffalo-Niagara Falls, NY ",2011,84190,1120457,0.075138983,7.513898347
"Charlotte-Gastonia-Rock Hill, NC-SC ",2011,296592,1782182,0.166420713,16.64207135
"Chicago-Joliet-Naperville, IL-IN-WI ",2011,1349979,9419708,0.143314315,14.33143151
"Cincinnati-Middletown, OH-KY-IN ",2011,236840,2114493,0.112007938,11.20079376
"Cleveland-Elyria-Mentor, OH ",2011,230886,2041395,0.11310207,11.31020699
"Columbus, OH ",2011,215259,1832607,0.117460536,11.74605357
"Dallas-Fort Worth-Arlington, TX ",2011,1440932,6474674,0.222548965,22.25489654
"Denver-Aurora-Broomfield, CO ",2011,395476,2577429,0.153438174,15.34381742
"Detroit-Warren-Livonia, MI ",2011,536668,4256941,0.126068931,12.60689307
"Fresno, CA ",2011,192553,931345,0.206747231,20.67472312
"Houston-Sugar Land-Baytown, TX ",2011,1452128,6037260,0.240527657,24.05276566
"Indianapolis-Carmel, IN ",2011,229466,1754322,0.130800389,13.0800389
"Jacksonville, FL ",2011,212298,1333949,0.159150012,15.91500125
"Kansas City, MO-KS ",2011,273408,2024129,0.135074395,13.5074395
"Las Vegas-Paradise, NV ",2011,433706,1945817,0.222891464,22.28914641
"Los Angeles-Long Beach-Santa Ana, CA ",2011,2730041,12857618,0.212328675,21.23286755
"Louisville/Jefferson County, KY-IN ",2011,167085,1278051,0.13073422,13.07342195
"Memphis, TN-MS-AR ",2011,211256,1308062,0.161503048,16.1503048
"Miami-Fort Lauderdale-Pompano Beach, FL ",2011,1443175,5620043,0.25679074,25.67907399
"Milwaukee-Waukesha-West Allis, WI ",2011,149818,1548112,0.096774652,9.677465196
"Minneapolis-St. Paul-Bloomington, MN-WI ",2011,292202,3290949,0.088789586,8.878958623
"Nashville-Davidson--Murfreesboro--Franklin, TN ",2011,229705,1602115,0.1433761,14.33760997
"New York-Northern New Jersey-Long Island, NY-NJ-PA ",2011,2497195,18847225,0.132496694,13.24966938
"Oklahoma City, OK ",2011,226154,1258832,0.179653838,17.96538378
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD ",2011,594873,5914484,0.100579019,10.05790192
"Phoenix-Mesa-Glendale, AZ ",2011,741273,4209141,0.17611028,17.611028
"Pittsburgh, PA ",2011,195014,2331858,0.083630307,8.363030682
"Portland-Vancouver-Hillsboro, OR-WA ",2011,324241,2247223,0.144285191,14.42851911
"Providence-New Bedford-Fall River, RI-MA ",2011,136254,1576319,0.086438088,8.643808772
"Raleigh-Cary, NC ",2011,165707,1152684,0.143757526,14.37575259
"Richmond, VA ",2011,152026,1244627,0.122145832,12.21458316
"Riverside-San Bernardino-Ontario, CA ",2011,866177,4242133,0.20418431,20.41843101
"Sacramento--Arden-Arcade--Roseville, CA ",2011,281853,2153236,0.130897403,13.08974028
"St. Louis, MO-IL ",2011,309076,2779468,0.111199697,11.11996972
"Salt Lake City, UT ",2011,180952,1136404,0.159232104,15.92321041
"San Antonio-New Braunfels, TX ",2011,427832,2149071,0.199077648,19.9077648
"San Diego-Carlsbad-San Marcos, CA ",2011,528808,3040979,0.173893999,17.38939993
"San Francisco-Oakland-Fremont, CA ",2011,518210,4357723,0.118917609,11.8917609
"San Jose-Sunnyvale-Santa Clara, CA ",2011,216983,1855577,0.116935595,11.69355947
"Seattle-Tacoma-Bellevue, WA ",2011,446064,3451113,0.129252215,12.92522152
"Tampa-St. Petersburg-Clearwater, FL ",2011,506747,2793949,0.181373032,18.13730315
"Virginia Beach-Norfolk-Newport News, VA-NC ",2011,194199,1594527,0.121790976,12.17909763
"Washington-Arlington-Alexandria, DC-VA-MD-WV ",2011,651948,5631112,0.115776067,11.5776067
"Atlanta-Sandy Springs-Marietta, GA ",2012,992026,5395018,0.183878163,18.38781631
"Augusta-Richmond County, GA-SC ",2012,89437,550508,0.162462671,16.24626708
"Austin-Round Rock-San Marcos, TX ",2012,326356,1817120,0.179600687,17.96006868
"Baltimore-Towson, MD ",2012,235171,2705863,0.086911643,8.691164335
"Birmingham-Hoover, AL ",2012,136880,1122390,0.121954044,12.19540445
"Boston-Cambridge-Quincy, MA-NH ",2012,195294,4589436,0.042552941,4.255294115
"Buffalo-Niagara Falls, NY ",2012,70027,1120067,0.062520367,6.252036709
"Charlotte-Gastonia-Rock Hill, NC-SC ",2012,294122,1817050,0.161867863,16.18678627
"Chicago-Joliet-Naperville, IL-IN-WI ",2012,1315924,9441923,0.139370338,13.9370338
"Cincinnati-Middletown, OH-KY-IN ",2012,224128,2124889,0.10547751,10.54775096
"Cleveland-Elyria-Mentor, OH ",2012,216027,2035897,0.106109003,10.61090026
"Columbus, OH ",2012,218682,1854171,0.117940578,11.79405783
"Dallas-Fort Worth-Arlington, TX ",2012,1465748,6593718,0.222294614,22.22946144
"Denver-Aurora-Broomfield, CO ",2012,388577,2621406,0.148232285,14.82322845
"Detroit-Warren-Livonia, MI ",2012,515882,4264105,0.12098248,12.09824805
"Fresno, CA ",2012,193924,936354,0.207105432,20.71054323
"Houston-Sugar Land-Baytown, TX ",2012,1439229,6156197,0.233785404,23.37854036
"Indianapolis-Carmel, IN ",2012,240329,1776871,0.135254051,13.52540505
"Jacksonville, FL ",2012,214889,1353764,0.158734462,15.87344618
"Kansas City, MO-KS ",2012,258310,2038190,0.126734995,12.67349953
"Las Vegas-Paradise, NV ",2012,452228,1977785,0.228653772,22.86537718
"Los Angeles-Long Beach-Santa Ana, CA ",2012,2708819,12964593,0.208939764,20.89397639
"Louisville/Jefferson County, KY-IN ",2012,162207,1283453,0.12638328,12.63832801
"Memphis, TN-MS-AR ",2012,199113,1316872,0.151201484,15.12014835
"Miami-Fort Lauderdale-Pompano Beach, FL ",2012,1417890,5712768,0.248196671,24.8196671
"Milwaukee-Waukesha-West Allis, WI ",2012,143659,1554107,0.092438294,9.243829415
"Minneapolis-St. Paul-Bloomington, MN-WI ",2012,260214,3325395,0.078250554,7.825055369
"Nashville-Davidson--Murfreesboro--Franklin, TN ",2012,213210,1627138,0.131033754,13.10337537
"New York-Northern New Jersey-Long Island, NY-NJ-PA ",2012,2432357,18993397,0.128063295,12.80632948
"Oklahoma City, OK ",2012,217705,1276056,0.170607716,17.06077163
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD ",2012,583253,5940853,0.098176642,9.817664231
"Phoenix-Mesa-Glendale, AZ ",2012,745106,4285055,0.173884816,17.38848159
"Pittsburgh, PA ",2012,184686,2333354,0.079150442,7.915044181
"Portland-Vancouver-Hillsboro, OR-WA ",2012,307921,2274496,0.135379882,13.5379882
"Providence-New Bedford-Fall River, RI-MA ",2012,138344,1578940,0.087618276,8.761827555
"Raleigh-Cary, NC ",2012,168913,1176521,0.143569898,14.3569898
"Richmond, VA ",2012,161119,1252263,0.12866227,12.86622698
"Riverside-San Bernardino-Ontario, CA ",2012,877969,4286924,0.204801625,20.48016247
"Sacramento--Arden-Arcade--Roseville, CA ",2012,313992,2176291,0.1442785,14.42784995
"St. Louis, MO-IL ",2012,310086,2784713,0.111352947,11.13529473
"Salt Lake City, UT ",2012,182812,1153583,0.158473209,15.84732091
"San Antonio-New Braunfels, TX ",2012,416194,2197341,0.189408016,18.94080163
"San Diego-Carlsbad-San Marcos, CA ",2012,521386,3073012,0.169666113,16.96661126
"San Francisco-Oakland-Fremont, CA ",2012,513380,4423295,0.116062799,11.60627993
"San Jose-Sunnyvale-Santa Clara, CA ",2012,224883,1885875,0.119245973,11.92459734
"Seattle-Tacoma-Bellevue, WA ",2012,456910,3507846,0.130253723,13.02537227
"Tampa-St. Petersburg-Clearwater, FL ",2012,496787,2814061,0.176537396,17.65373956
"Virginia Beach-Norfolk-Newport News, VA-NC ",2012,185351,1605304,0.11546162,11.54616197
"Washington-Arlington-Alexandria, DC-VA-MD-WV ",2012,663397,5731892,0.115737875,11.5737875
"Atlanta-Sandy Springs-Roswell, GA ",2013,1026237,5479916,0.187272396,18.72723961
"Augusta-Richmond County, GA-SC ",2013,81246,564452,0.143937837,14.39378371
"Austin-Round Rock, TX ",2013,324191,1867279,0.173616797,17.36167975
"Baltimore-Columbia-Towson, MD ",2013,235897,2723967,0.086600535,8.660053518
"Birmingham-Hoover, AL ",2013,133780,1125879,0.118822715,11.88227154
"Boston-Cambridge-Newton, MA-NH ",2013,195978,4632775,0.042302508,4.230250768
"Buffalo-Cheektowaga-Niagara Falls, NY ",2013,72291,1120232,0.064532168,6.453216834
"Charlotte-Concord-Gastonia, NC-SC ",2013,367873,2317961,0.158705431,15.87054312
"Chicago-Naperville-Elgin, IL-IN-WI ",2013,1322582,9451096,0.139939537,13.99395372
"Cincinnati, OH-KY-IN ",2013,222872,2109109,0.105671163,10.56711626
"Cleveland-Elyria, OH ",2013,208820,2040274,0.102348998,10.23489982
"Columbus, OH ",2013,225013,1940298,0.115968269,11.59682688
"Dallas-Fort Worth-Arlington, TX ",2013,1451114,6756064,0.214786894,21.47868937
"Denver-Aurora-Lakewood, CO ",2013,377342,2673551,0.141138882,14.11388823
"Detroit-Warren-Dearborn, MI ",2013,483065,4267736,0.113189991,11.31899911
"Fresno, CA ",2013,172565,943800,0.182840644,18.28406442
"Houston-The Woodlands-Sugar Land, TX ",2013,1429541,6262526,0.228269072,22.82690723
"Indianapolis-Carmel-Anderson, IN ",2013,262850,1926158,0.136463364,13.64633639
"Jacksonville, FL ",2013,213388,1369805,0.155779837,15.57798373
"Kansas City, MO-KS ",2013,266949,2027192,0.131684123,13.16841227
"Las Vegas-Henderson-Paradise, NV ",2013,432618,2006374,0.215621813,21.56218133
"Los Angeles-Long Beach-Anaheim, CA ",2013,2637795,13042856,0.202240598,20.22405982
"Louisville/Jefferson County, KY-IN ",2013,154672,1245711,0.12416363,12.41636302
"Memphis, TN-MS-AR ",2013,208709,1326796,0.157303007,15.73030066
"Miami-Fort Lauderdale-West Palm Beach, FL ",2013,1433263,5776453,0.248121641,24.81216414
"Milwaukee-Waukesha-West Allis, WI ",2013,149083,1556250,0.095796305,9.579630522
"Minneapolis-St. Paul-Bloomington, MN-WI ",2013,276566,3430733,0.080614259,8.06142594
"Nashville-Davidson--Murfreesboro--Franklin, TN ",2013,234084,1738899,0.134616214,13.46162141
"New York-Newark-Jersey City, NY-NJ-PA ",2013,2477579,19763358,0.125362249,12.53622487
"Oklahoma City, OK ",2013,219478,1299006,0.168958419,16.8958419
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD ",2013,593427,5955628,0.099641381,9.964138123
"Phoenix-Mesa-Scottsdale, AZ ",2013,755958,4350326,0.173770425,17.37704255
"Pittsburgh, PA ",2013,176122,2334302,0.075449535,7.544953481
"Portland-Vancouver-Hillsboro, OR-WA ",2013,311902,2300391,0.135586516,13.55865155
"Providence-Warwick, RI-MA ",2013,142820,1581388,0.090313067,9.031306675
"Raleigh, NC ",2013,162594,1202253,0.135241085,13.52410849
"Richmond, VA ",2013,150904,1221118,0.123578557,12.35785567
"Riverside-San Bernardino-Ontario, CA ",2013,836689,4316549,0.193832851,19.38328512
"Sacramento--Roseville--Arden-Arcade, CA ",2013,308500,2195250,0.140530691,14.05306913
"St. Louis, MO-IL ",2013,287972,2764821,0.104155748,10.41557482
"Salt Lake City, UT ",2013,177522,1132569,0.156742768,15.6742768
"San Antonio-New Braunfels, TX ",2013,433947,2240982,0.193641448,19.36414483
"San Diego-Carlsbad, CA ",2013,506129,3112190,0.162627924,16.26279244
"San Francisco-Oakland-Hayward, CA ",2013,493387,4483866,0.110036072,11.00360716
"San Jose-Sunnyvale-Santa Clara, CA ",2013,211292,1911013,0.110565444,11.05654436
"Seattle-Tacoma-Bellevue, WA ",2013,441871,3563860,0.123986632,12.39866325
"Tampa-St. Petersburg-Clearwater, FL ",2013,484199,2838363,0.170590936,17.05909357
"Virginia Beach-Norfolk-Newport News, VA-NC ",2013,201642,1619144,0.124536175,12.45361747
"Washington-Arlington-Alexandria, DC-VA-MD-WV ",2013,668753,5879484,0.113743485,11.3743485
"Atlanta-Sandy Springs-Roswell, GA ",2014,855498,5567018,0.153672577,15.36725766
"Augusta-Richmond County, GA-SC ",2014,73550,564384,0.130319074,13.03190735
"Austin-Round Rock, TX ",2014,298326,1926610,0.154845039,15.48450387
"Baltimore-Columbia-Towson, MD ",2014,172927,2741585,0.063075557,6.307555666
"Birmingham-Hoover, AL ",2014,125877,1129239,0.111470645,11.14706453
"Boston-Cambridge-Newton, MA-NH ",2014,177282,4683318,0.037853932,3.785393176
"Charlotte-Concord-Gastonia, NC-SC ",2014,305553,2363044,0.129304829,12.93048289
"Chicago-Naperville-Elgin, IL-IN-WI ",2014,1028070,9466149,0.108604883,10.86048825
"Cincinnati, OH-KY-IN ",2014,171668,2124455,0.080805665,8.080566545
"Cleveland-Elyria, OH ",2014,154249,2038736,0.075659134,7.565913389
"Columbus, OH ",2014,166348,1968261,0.084515214,8.451521419
"Dallas-Fort Worth-Arlington, TX ",2014,1252905,6899869,0.181583882,18.15838822
"Denver-Aurora-Lakewood, CO ",2014,277990,2732835,0.101722204,10.17222042
"Detroit-Warren-Dearborn, MI ",2014,381339,4268495,0.089338045,8.933804538
"Fresno, CA ",2014,134687,954248,0.14114465,14.114465
"Houston-The Woodlands-Sugar Land, TX ",2014,1259941,6439913,0.195645655,19.56456555
"Indianapolis-Carmel-Anderson, IN ",2014,223169,1945637,0.11470228,11.470228
"Jacksonville, FL ",2014,175982,1392192,0.126406415,12.64064152
"Kansas City, MO-KS ",2014,215907,2045500,0.105552188,10.55521877
"Las Vegas-Henderson-Paradise, NV ",2014,327820,2046770,0.160164552,16.0164552
"Los Angeles-Long Beach-Anaheim, CA ",2014,1937002,13176100,0.147008751,14.70087507
"Louisville/Jefferson County, KY-IN ",2014,101027,1246971,0.081017923,8.101792263
"Memphis, TN-MS-AR ",2014,177363,1326997,0.133657423,13.36574235
"Miami-Fort Lauderdale-West Palm Beach, FL ",2014,1143271,5879047,0.194465361,19.44653615
"Milwaukee-Waukesha-West Allis, WI ",2014,121414,1559127,0.077873066,7.787306615
"Minneapolis-St. Paul-Bloomington, MN-WI ",2014,199485,3465486,0.057563355,5.756335475
"Nashville-Davidson--Murfreesboro--Franklin, TN ",2014,212056,1774885,0.11947591,11.94759097
"New York-Newark-Jersey City, NY-NJ-PA ",2014,2081309,19909829,0.104536759,10.45367592
"Oklahoma City, OK ",2014,184092,1313583,0.140144932,14.01449318
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD ",2014,504984,5972800,0.084547281,8.454728101
"Phoenix-Mesa-Scottsdale, AZ ",2014,589231,4432549,0.132932766,13.29327662
"Pittsburgh, PA ",2014,146387,2328736,0.06286114,6.286114012
"Portland-Vancouver-Hillsboro, OR-WA ",2014,215146,2331549,0.092275993,9.227599334
"Providence-Warwick, RI-MA ",2014,96979,1587470,0.061090288,6.109028832
"Raleigh, NC ",2014,145208,1231705,0.117891865,11.78918653
"Richmond, VA ",2014,127229,1232657,0.10321525,10.32152497
"Riverside-San Bernardino-Ontario, CA ",2014,640154,4371661,0.146432672,14.64326717
"Sacramento--Roseville--Arden-Arcade, CA ",2014,209526,2219721,0.094392944,9.439294398
"St. Louis, MO-IL ",2014,248900,2771716,0.089799965,8.979996508
"Salt Lake City, UT ",2014,155592,1144703,0.135923467,13.59234666
"San Antonio-New Braunfels, TX ",2014,360619,2289155,0.157533675,15.75336751
"San Diego-Carlsbad, CA ",2014,388569,3164291,0.122798124,12.27981244
"San Francisco-Oakland-Hayward, CA ",2014,356250,4563324,0.078068092,7.806809247
"San Jose-Sunnyvale-Santa Clara, CA ",2014,138059,1943922,0.071020854,7.102085372
"Seattle-Tacoma-Bellevue, WA ",2014,302272,3625158,0.083381745,8.338174502
"Tampa-St. Petersburg-Clearwater, FL ",2014,423536,2883891,0.146862693,14.68626935
"Virginia Beach-Norfolk-Newport News, VA-NC ",2014,180416,1625281,0.111006035,11.10060353
"Washington-Arlington-Alexandria, DC-VA-MD-WV ",2014,572894,5961557,0.09609805,9.609804955
"Atlanta-Sandy Springs-Roswell, GA ",2015,759403,5664453,0.134064666,13.40646661
"Augusta-Richmond County, GA-SC ",2015,66349,571031,0.11619159,11.61915903
"Austin-Round Rock, TX ",2015,256428,1983885,0.129255476,12.9255476
"Baltimore-Columbia-Towson, MD ",2015,146539,2747783,0.053329903,5.332990269
"Birmingham-Hoover, AL ",2015,109319,1131295,0.096631736,9.66317362
"Boston-Cambridge-Newton, MA-NH ",2015,141958,4725559,0.030040467,3.004046717
"Charlotte-Concord-Gastonia, NC-SC ",2015,252020,2408528,0.104636525,10.46365249
"Chicago-Naperville-Elgin, IL-IN-WI ",2015,773161,9463175,0.081702071,8.170207145
"Cincinnati, OH-KY-IN ",2015,123499,2133287,0.057891414,5.789141358
"Cleveland-Elyria, OH ",2015,123809,2035266,0.060831852,6.083185195
"Columbus, OH ",2015,141673,1994538,0.071030484,7.103048425
"Dallas-Fort Worth-Arlington, TX ",2015,1150488,7050764,0.163172104,16.31721045
"Denver-Aurora-Lakewood, CO ",2015,224960,2790206,0.080624871,8.062487143
"Detroit-Warren-Dearborn, MI ",2015,268902,4273209,0.062927416,6.292741591
"Fresno, CA ",2015,93044,963755,0.096543209,9.65432086
"Houston-The Woodlands-Sugar Land, TX ",2015,1142813,6602731,0.173081866,17.30818657
"Indianapolis-Carmel-Anderson, IN ",2015,182847,1960549,0.093263163,9.326316251
"Jacksonville, FL ",2015,153310,1422372,0.107784743,10.77847427
"Kansas City, MO-KS ",2015,183313,2063725,0.088826273,8.882627288
"Las Vegas-Henderson-Paradise, NV ",2015,277837,2091396,0.132847629,13.2847629
"Los Angeles-Long Beach-Anaheim, CA ",2015,1424010,13255969,0.107424059,10.74240593
"Louisville/Jefferson County, KY-IN ",2015,74228,1262918,0.058774996,5.877499568
"Memphis, TN-MS-AR ",2015,158624,1326050,0.119621432,11.96214321
"Miami-Fort Lauderdale-West Palm Beach, FL ",2015,946358,5962668,0.158713851,15.87138509
"Milwaukee-Waukesha-West Allis, WI ",2015,93581,1562371,0.059896785,5.989678508
"Minneapolis-St. Paul-Bloomington, MN-WI ",2015,159196,3496109,0.045535194,4.553519355
"Nashville-Davidson--Murfreesboro--Franklin, TN ",2015,176480,1813547,0.097312063,9.731206305
"New York-Newark-Jersey City, NY-NJ-PA ",2015,1695411,20003795,0.084754468,8.475446784
"Oklahoma City, OK ",2015,170443,1336781,0.12750256,12.75025603
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD ",2015,377767,5991446,0.063051056,6.305105646
"Phoenix-Mesa-Scottsdale, AZ ",2015,491191,4518609,0.108704028,10.87040282
"Pittsburgh, PA ",2015,104430,2326306,0.044890913,4.489091289
"Portland-Vancouver-Hillsboro, OR-WA ",2015,152585,2375012,0.064245991,6.424599118
"Providence-Warwick, RI-MA ",2015,76651,1591664,0.048157777,4.815777702
"Raleigh, NC ",2015,114574,1263388,0.090687896,9.068789635
"Richmond, VA ",2015,106607,1246535,0.085522669,8.552266884
